Place of interest;Type of place;Place address;BiciMAD station;Station location
Iglesia Ejército de Salvación Madrid Central;no_catolicas;CALLE HERMOSILLA 126 Local 4;Doctor Esquerdo-Hermosilla;Calle Hermosilla nº 135
Iglesia Ejército de Salvación Palomeras;no_catolicas;AVENIDA RAFAEL ALBERTI 18 bis;Pavones;Calle Hacienda de Pavones nº 342
Iglesia El Buen Pastor de Vallecas;no_catolicas;CAMINO VALDERRIBAS 96 Nave;Sierra Toledana;Camino de Valderribas nº 94
Iglesia Elan;no_catolicas;CALLE EZCARAY 20 PLANTA 2 C;Pavones;Calle Hacienda de Pavones nº 342
Iglesia Esclavas del Sagrado Corazón de Jesús;catolicas;PASEO GENERAL MARTINEZ CAMPOS 10;Santa Engracia 87;Calle Santa Engracia nº 87
Iglesia Española Reformada Episcopal;no_catolicas;CALLE BENEFICENCIA 18;Hortaleza;Calle Hortaleza nº 75
Iglesia Evangelio Cuadrangular Vida Nueva Usera;no_catolicas;CALLE MONEDEROS 22;Glorieta de Cádiz;Calle Antonio López nº 129
Iglesia Evangélica Agua de Vida Vaguada;no_catolicas;CALLE PUERTO DE MASPALOMAS 22 Posterior;Remonta;Calle Azucenas nº 1
Iglesia Evangélica Asociación Centros Tahor;no_catolicas;CALLE TERUEL 25;General Perón 1;Avenida del General Perón frente al nº 4
Iglesia Evangélica Asociación Club Metas;no_catolicas;AVENIDA GRAN VIA DE HORTALEZA 30;Carlota O’Neill;Calle Carlota O'Neill nº 32
Iglesia Evangélica Asociación Evangelización Mundial para Cristo;no_catolicas;AVENIDA CANILLEJAS A VICALVARO 131;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Iglesia Evangélica Avivamiento Emmanuel España;no_catolicas;CALLE ALVAREZ ABELLAN 17;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Evangélica Bautista Barrio del Pilar;no_catolicas;CALLE GINZO DE LIMIA 44;Pedro Rico;Calle Pedro Rico nº 4
Iglesia Evangélica Buenas Nuevas la Gran Comisión;no_catolicas;CALLE RADIO 12 PLANTA BAJO A;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Evangélica Casa de Oración;no_catolicas;CALLE FELIPE DE DIEGO 3 Bloque A, posterior;Concordia;Calle Arroyo del Olivar nº 6
Iglesia Evangélica Casa de Oración de Madrid;no_catolicas;CALLE LONDRES 13;Avenida de los Toreros;Avenida de los Toreros nº 3
Iglesia Evangélica Casa de la Misericordia;no_catolicas;CALLE SANTIAGO ESTEVEZ 29 PLANTA BAJO IZQUIERDA;Ermita Santo;Paseo de la Ermita del Santo nº 48
Iglesia Evangélica China Española;no_catolicas;CALLE CAROLINAS 10;Estrecho;Calle Navarra nº 1
Iglesia Evangélica Cristo Vive;no_catolicas;AVENIDA GRAN VIA DE HORTALEZA 30;Carlota O’Neill;Calle Carlota O'Neill nº 32
Iglesia Evangélica Emaús;no_catolicas;CALLE AGUAVIVA 6;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Iglesia Evangélica Encuentro con Dios;no_catolicas;CALLE JOSE DEL PRADO Y PALACIO 1 Local 4;Camino Vinateros;Calle Camino de los Vinateros nº 28
Iglesia Evangélica Evangelizando las Naciones;no_catolicas;PASEO GIGANTES Y CABEZUDOS 48 PLANTA BAJO 1,2;Embajadores 191;Calle Sodio nº 1B
Iglesia Evangélica Fe, Esperanza y Amor;no_catolicas;CALLE PATRIARCA SAN JOSE 9 PLANTA SUBSÓTANO;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Iglesia Evangélica Filadelfia (El Rayo);no_catolicas;CALLE RIO ARAUCA 8;Sierra Toledana;Camino de Valderribas nº 94
Iglesia Evangélica Filadelfia Orcasur;no_catolicas;"CALLE ALBU&amp;Ntilde;UELAS 4";Glorieta de Cádiz;Calle Antonio López nº 129
Iglesia Evangélica Filadelfia del Centro;no_catolicas;CALLE RODRIGO DE GUEVARA 2;Plaza de la Cebada;Plaza de la Cebada nº 16 
Iglesia Evangélica Fuente de la Vida, Asambleas de Dios;no_catolicas;CALLE SIERRA CARBONERA 31;Concordia;Calle Arroyo del Olivar nº 6
Iglesia Evangélica Jesús es el Señor Torre Fuerte;no_catolicas;CALLE BLANDON 6;Caramuel;Calle Caramuel nº 51
Iglesia Evangélica Las Águilas;no_catolicas;CALLE FUERTE DE NAVIDAD 19;Caramuel;Calle Caramuel nº 51
Iglesia Evangélica Manantial de Vida Center;no_catolicas;AVENIDA CERRO DE LOS ANGELES 10 PLANTA 1 B;San Delfín;Calle San Delfín nº 9
Iglesia Evangélica Ministerio Pasión por Cristo;no_catolicas;CALLE REUS 8;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Evangélica Nueva Vida;no_catolicas;CALLE ARGOS 13 o calle Caunedo, 16;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Iglesia Evangélica Pentecostal Amistad Cristiana;no_catolicas;CALLE VALLEHERMOSO 70;Galileo;Calle Galileo nº 63
Iglesia Evangélica Pentecostal Bethel;no_catolicas;CALLE FERNANDO DIAZ DE MENDOZA 3;San Delfín;Calle San Delfín nº 9
Iglesia Evangélica Pentecostal Misión 1909;no_catolicas;CALLE VIRGEN DE BELEN 42 PLANTA BAJO;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Evangélica Pentecostal Salem;no_catolicas;CALLE CIDRO 8;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Evangélica Pueblo Nuevo;no_catolicas;CALLE VILLACARLOS 14;Pavones;Calle Hacienda de Pavones nº 342
Iglesia Evangélica Servidores de Vida;no_catolicas;CALLE CASTROJERIZ 8;Caramuel;Calle Caramuel nº 51
Iglesia Evangélica de Aluche;no_catolicas;CALLE NUESTRA SEÑORA DE LA LUZ 118;Caramuel;Calle Caramuel nº 51
Iglesia Evangélica de Hermanos El Shadday;no_catolicas;CALLE MARIA PEDRAZA 11;Pablo Iglesias;Calle Francisco Balseiro nº 1
Iglesia Evangélica de Hermanos en Aluche - Madrid;no_catolicas;CALLE TEMBLEQUE 140;Caramuel;Calle Caramuel nº 51
Iglesia Evangélica del Nazareno;no_catolicas;CALLE PELICANO 26;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Gloria de Dios;no_catolicas;CALLE MAQUEDA 30 LOCAL 60;Caramuel;Calle Caramuel nº 51
Iglesia Internacional Alianza de Amor;no_catolicas;CALLE ANTONIO GONZALEZ PORRAS 25;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Jesús es el Maestro;no_catolicas;CALLE ALEJANDRINA MORAN 24;Caramuel;Calle Caramuel nº 51
Iglesia Madres Dominicas (Monasterio Santo Domingo el Real);catolicas;CALLE CLAUDIO COELLO 112;Velázquez-Diego de León;Calle Velázquez nº 91
Iglesia Ministerio Belem;no_catolicas;CALLE GAVIOTA 55 PLANTA 1;Caramuel;Calle Caramuel nº 51
Iglesia Ministerio Denuedo;no_catolicas;CALLE MINEROS 12 PLANTA 1;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Nuestra Señora de Lourdes y San Justino. Iglesia de la Renovación Carismática;catolicas;CALLE SAN JUAN DE MATA 30;Caramuel;Calle Caramuel nº 51
Iglesia Nuestra Señora de Montserrat;catolicas;CALLE SAN BERNARDO 79;San Hermenegildo;Calle San Bernardo nº 85
Iglesia Nuestra Señora de la Bien Aparecida;catolicas;CALLE PIO BAROJA 2;Doce de Octubre;Calle Doce de Octubre nº 28
Iglesia Nuestra Señora de la Paz;catolicas;CALLE DOCTOR ESQUERDO 44;Jorge Juan;Calle Jorge Juan nº 131
Iglesia Padre Trinitarios;catolicas;CALLE ECHEGARAY 30;Plaza de Santa Ana;Plaza de Santa Ana nº 10
Iglesia Punto de Encuentro;no_catolicas;CALLE RESINA 13 PLANTA 1 Nave 11;Glorieta de Cádiz;Calle Antonio López nº 129
Iglesia San Antonio de los Alemanes;catolicas;CALLE CORREDERA BAJA DE SAN PABLO 16;Carlos Cambronero;Plaza de Carlos Cambronero nº 2
Iglesia San Ignacio de los Vascos;catolicas;CALLE PRINCIPE 31;Plaza de Santa Ana;Plaza de Santa Ana nº 10
Iglesia San Ildefonso;catolicas;CALLE LOPE DE VEGA 18;Antón Martín;Calle Atocha nº 54
Iglesia San José de la Montaña;catolicas;CALLE FERNANDEZ DE LA HOZ 16;Santa Engracia 14;Calle Santa Engracia nº 14
Iglesia San Martín de Tours;catolicas;"CALLE DESENGA&amp;Ntilde;O 26";Miguel Moya;Calle Miguel Moya nº 1
Iglesia San Pascual;catolicas;PASEO RECOLETOS 11;Cibeles;Plaza Cibeles
Iglesia San Pedro el Viejo;catolicas;CALLE NUNCIO 14;Plaza del Cordón;Plaza del Cordón
